category,price,discount,views,cart_adds,rating,device,purchased
Beauty,950.96,0.37,2,0,4.7,Tablet,1
Clothing,723.39,0.47,0,0,5.0,Mobile,0
Home,434.79,0.15,2,0,3.6,Tablet,0
Beauty,516.66,0.3,0,0,4.0,Mobile,0
Clothing,949.14,0.48,2,1,3.6,Tablet,0
Books,909.77,0.13,4,3,4.4,Desktop,0
Beauty,599.91,0.46,1,0,3.3,Mobile,0
Home,588.82,0.48,2,0,2.5,Mobile,0
Beauty,297.02,0.01,5,3,4.6,Desktop,1
Home,730.96,0.32,3,1,3.9,Tablet,1
Books,525.12,0.21,0,0,2.8,Tablet,0
Electronics,317.78,0.25,4,0,3.2,Desktop,0
Clothing,809.08,0.32,6,1,2.8,Mobile,0
Electronics,818.92,0.43,0,0,3.8,Mobile,0
Electronics,124.27,0.17,4,3,4.9,Desktop,0
Books,304.37,0.14,0,0,4.0,Desktop,0
Home,348.35,0.32,5,1,3.1,Desktop,1
Beauty,983.51,0.2,4,2,3.3,Tablet,0
Books,351.92,0.05,6,2,4.2,Tablet,0
Clothing,982.26,0.26,5,1,4.3,Tablet,0
Electronics,643.82,0.04,3,0,4.2,Mobile,0
Clothing,488.19,0.22,2,1,2.9,Tablet,0
Electronics,544.83,0.25,4,2,3.6,Mobile,0
Beauty,670.58,0.43,4,4,3.7,Desktop,0
Books,748.98,0.48,4,1,3.0,Mobile,0
Clothing,559.02,0.47,2,1,5.0,Desktop,1
Clothing,877.99,0.37,4,2,4.7,Mobile,1
Electronics,629.75,0.1,1,0,4.7,Tablet,0
Clothing,441.28,0.34,3,2,3.1,Desktop,0
Books,131.43,0.26,3,0,3.8,Tablet,0
Beauty,137.08,0.48,1,0,3.6,Desktop,1
Home,188.41,0.04,2,2,3.6,Desktop,1
Electronics,661.9,0.14,5,1,4.4,Mobile,1
Beauty,50.77,0.02,3,1,3.7,Mobile,0
Home,401.51,0.31,1,0,4.1,Desktop,0
Home,685.54,0.31,7,3,4.6,Tablet,0
Clothing,210.65,0.14,2,1,3.3,Desktop,1
Clothing,683.21,0.17,3,2,2.6,Mobile,0
Electronics,550.23,0.21,3,0,4.0,Tablet,0
Home,242.4,0.34,3,1,3.5,Mobile,0
Electronics,58.22,0.48,5,0,2.7,Mobile,0
Home,753.61,0.4,2,0,3.9,Mobile,0
Home,354.16,0.06,3,0,4.3,Desktop,0
Books,707.71,0.04,2,0,4.5,Tablet,0
Home,754.61,0.19,2,0,4.8,Tablet,0
Home,16.3,0.23,1,0,4.1,Mobile,0
Beauty,962.36,0.19,4,3,2.6,Mobile,1
Home,993.0,0.04,6,2,4.8,Mobile,0
Clothing,950.66,0.45,3,1,3.4,Desktop,1
Home,974.52,0.49,5,3,4.6,Desktop,0
Home,615.35,0.21,2,0,3.4,Mobile,0
Electronics,379.86,0.37,3,0,2.8,Mobile,1
Beauty,813.84,0.5,6,1,4.9,Mobile,1
Electronics,673.34,0.31,1,0,3.8,Desktop,0
Clothing,852.92,0.28,3,0,4.4,Mobile,0
Books,216.9,0.07,0,0,3.4,Desktop,0
Books,95.55,0.36,4,2,4.5,Desktop,0
Clothing,770.07,0.03,0,0,4.1,Desktop,0
Books,581.75,0.17,4,0,4.2,Mobile,0
Books,517.66,0.49,3,1,2.6,Desktop,1
Electronics,359.21,0.45,1,0,2.7,Tablet,0
Books,921.27,0.03,3,0,3.4,Desktop,0
Beauty,372.07,0.23,1,0,4.3,Tablet,0
Books,534.45,0.05,3,1,2.6,Mobile,0
Clothing,537.66,0.12,3,1,4.0,Desktop,0
Electronics,566.64,0.19,3,1,3.3,Mobile,1
Home,157.09,0.12,1,0,2.9,Tablet,0
Books,526.89,0.21,2,2,4.7,Desktop,0
Books,821.76,0.36,3,2,4.3,Mobile,0
